Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -2.95829      2.75351      1.24622      1.50729
     -2.94829      2.54717      1.16878      1.37839
     -2.93829      2.39281      1.11464      1.27817
     -2.92829      2.38685      1.11913      1.26772
     -2.91829      2.50498      1.17062      1.33435
     -2.90829      2.61678      1.21461      1.40217
     -2.89829      2.61122      1.20580      1.40543
     -2.88829      2.49198      1.14853      1.34345
     -2.87829      2.33978      1.07915      1.26063
     -2.86829      2.21370      1.02178      1.19192
     -2.85829      2.11942      0.97625      1.14317
     -2.84829      2.05319      0.94206      1.11113
     -2.83829      2.03452      0.93378      1.10074
     -2.82829      2.08414      0.96534      1.11880
     -2.81829      2.18704      1.02734      1.15970
     -2.80829      2.29198      1.08815      1.20383
     -2.79829      2.34608      1.11694      1.22914
     -2.78829      2.32318      1.10231      1.22087
     -2.77829      2.22378      1.05070      1.17308
     -2.76829      2.06677      0.97576      1.09101
     -2.75829      1.89451      0.89589      0.99862
     -2.74829      1.77630      0.83795      0.93835
     -2.73829      1.78100      0.83001      0.95099
     -2.72829      1.92425      0.88005      1.04420
     -2.71829      2.13758      0.96109      1.17649
     -2.70829      2.30420      1.02573      1.27847
     -2.69829      2.34534      1.04291      1.30243
     -2.68829      2.27680      1.02060      1.25620
     -2.67829      2.17907      0.99065      1.18843
     -2.66829      2.12102      0.97604      1.14498
     -2.65829      2.11669      0.97614      1.14055
     -2.64829      2.13324      0.97492      1.15833
     -2.63829      2.12034      0.95504      1.16531
     -2.62829      2.04533      0.90920      1.13613
     -2.61829      1.92182      0.84695      1.07487
     -2.60829      1.80330      0.79038      1.01292
     -2.59829      1.74246      0.76066      0.98180
     -2.58829      1.76175      0.77070      0.99105
     -2.57829      1.85984      0.82864      1.03119
     -2.56829      2.02174      0.93482      1.08692
     -2.55829      2.20725      1.06661      1.14063
     -2.54829      2.35052      1.17746      1.17306
     -2.53829      2.40014      1.22620      1.17394
     -2.52829      2.36215      1.20928      1.15287
     -2.51829      2.29231      1.16030      1.13201
     -2.50829      2.24265      1.11852      1.12413
     -2.49829      2.21486      1.09641      1.11845
     -2.48829      2.16607      1.07420      1.09187
     -2.47829      2.06543      1.02693      1.03849
     -2.46829      1.94687      0.95894      0.98793
     -2.45829      1.89790      0.90944      0.98847
     -2.44829      1.98506      0.92053      1.06453
     -2.43829      2.18560      0.99818      1.18742
     -2.42829      2.39597      1.10423      1.29174
     -2.41829      2.51171      1.18541      1.32630
     -2.40829      2.50322      1.21098      1.29224
     -2.39829      2.42861      1.19026      1.23835
     -2.38829      2.38720      1.16222      1.22498
     -2.37829      2.44454      1.16404      1.28050
     -2.36829      2.57111      1.19774      1.37337
     -2.35829      2.65556      1.22627      1.42929
     -2.34829      2.60529      1.20992      1.39536
     -2.33829      2.44107      1.14804      1.29303
     -2.32829      2.28229      1.08128      1.20101
     -2.31829      2.24409      1.05644      1.18765
     -2.30829      2.35550      1.09216      1.26335
     -2.29829      2.55698      1.17103      1.38594
     -2.28829      2.74938      1.25334      1.49604
     -2.27829      2.84964      1.29868      1.55096
     -2.26829      2.83182      1.28675      1.54507
     -2.25829      2.74012      1.22914      1.51097
     -2.24829      2.66415      1.16490      1.49925
     -2.23829      2.68621      1.13946      1.54675
     -2.22829      2.83005      1.17666      1.65340
     -2.21829      3.04494      1.26179      1.78314
     -2.20829      3.24075      1.35134      1.88941
     -2.19829      3.35268      1.40541      1.94726
     -2.18829      3.38410      1.41593      1.96817
     -2.17829      3.39127      1.40512      1.98614
     -2.16829      3.42548      1.39856      2.02692
     -2.15829      3.48747      1.40132      2.08615
     -2.14829      3.53858      1.40068      2.13790
     -2.13829      3.55794      1.38943      2.16851
     -2.12829      3.58081      1.38152      2.19929
     -2.11829      3.66614      1.39969      2.26645
     -2.10829      3.82558      1.44850      2.37708
     -2.09829      4.00527      1.50595      2.49932
     -2.08829      4.16306      1.54784      2.61521
     -2.07829      4.36688      1.58015      2.78672
     -2.06829      4.78683      1.64104      3.14578
     -2.05829      5.54474      1.76435      3.78039
     -2.04829      6.55498      1.94199      4.61299
     -2.03829      7.53905      2.12810      5.41094
     -2.02829      8.22290      2.27948      5.94342
     -2.01829      8.51879      2.38488      6.13391
     -2.00829      8.51896      2.45475      6.06421
     -1.99829      8.35164      2.49253      5.85911
     -1.98829      8.08237      2.48570      5.59667
     -1.97829      7.73923      2.42431      5.31492
     -1.96829      7.36877      2.32068      5.04808
     -1.95829      7.02188      2.20542      4.81646
     -1.94829      6.70774      2.10627      4.60147
     -1.93829      6.40884      2.03505      4.37379
     -1.92829      6.14214      1.99120      4.15094
     -1.91829      5.96715      1.96915      3.99800
     -1.90829      5.91756      1.95937      3.95819
     -1.89829      5.94527      1.94917      3.99610
     -1.88829      5.94889      1.92905      4.01984
     -1.87829      5.85146      1.89672      3.95475
     -1.86829      5.64169      1.84993      3.79176
     -1.85829      5.35409      1.77841      3.57568
     -1.84829      5.04133      1.67375      3.36758
     -1.83829      4.77078      1.55116      3.21961
     -1.82829      4.60917      1.45104      3.15813
     -1.81829      4.57472      1.40736      3.16736
     -1.80829      4.60702      1.41392      3.19310
     -1.79829      4.60232      1.42675      3.17557
     -1.78829      4.49019      1.40282      3.08737
     -1.77829      4.29015      1.33819      2.95196
     -1.76829      4.10720      1.27164      2.83556
     -1.75829      4.05777      1.25033      2.80744
     -1.74829      4.16484      1.28523      2.87961
     -1.73829      4.31564      1.33607      2.97957
     -1.72829      4.34607      1.34366      3.00241
     -1.71829      4.18191      1.28117      2.90074
     -1.70829      3.89240      1.17423      2.71817
     -1.69829      3.61576      1.07460      2.54117
     -1.68829      3.45572      1.01991      2.43581
     -1.67829      3.44310      1.01675      2.42635
     -1.66829      3.55279      1.05036      2.50243
     -1.65829      3.72235      1.09920      2.62316
     -1.64829      3.86315      1.13989      2.72326
     -1.63829      3.88983      1.14922      2.74061
     -1.62829      3.76625      1.11302      2.65323
     -1.61829      3.52850      1.03703      2.49147
     -1.60829      3.25708      0.94544      2.31165
     -1.59829      3.02039      0.86501      2.15538
     -1.58829      2.84358      0.81104      2.03254
     -1.57829      2.73070      0.78828      1.94243
     -1.56829      2.70249      0.79889      1.90360
     -1.55829      2.79223      0.84245      1.94978
     -1.54829      3.00298      0.91041      2.09257
     -1.53829      3.28132      0.98652      2.29480
     -1.52829      3.53514      1.05135      2.48379
     -1.51829      3.67639      1.08458      2.59182
     -1.50829      3.66346      1.06985      2.59361
     -1.49829      3.52032      1.00584      2.51448
     -1.48829      3.31244      0.91092      2.40152
     -1.47829      3.09883      0.81221      2.28662
     -1.46829      2.91111      0.73077      2.18034
     -1.45829      2.77014      0.67694      2.09320
     -1.44829      2.69823      0.65362      2.04462
     -1.43829      2.70397      0.65787      2.04609
     -1.42829      2.76611      0.68030      2.08581
     -1.41829      2.84378      0.70738      2.13640
     -1.40829      2.90279      0.72769      2.17510
     -1.39829      2.93313      0.73677      2.19637
     -1.38829      2.94747      0.73660      2.21087
     -1.37829      2.96339      0.73032      2.23308
     -1.36829      2.98095      0.71719      2.26376
     -1.35829      2.97852      0.69433      2.28419
     -1.34829      2.93760      0.66424      2.27336
     -1.33829      2.86898      0.63750      2.23148
     -1.32829      2.80808      0.62480      2.18328
     -1.31829      2.78649      0.62800      2.15848
     -1.30829      2.81136      0.64077      2.17059
     -1.29829      2.86814      0.65485      2.21329
     -1.28829      2.93787      0.66346      2.27441
     -1.27829      3.01088      0.66228      2.34860
     -1.26829      3.08412      0.65182      2.43231
     -1.25829      3.14709      0.63804      2.50905
     -1.24829      3.17879      0.62775      2.55104
     -1.23829      3.16872      0.62335      2.54537
     -1.22829      3.14221      0.62370      2.51851
     -1.21829      3.15749      0.62914      2.52836
     -1.20829      3.27011      0.64325      2.62686
     -1.19829      3.49492      0.66926      2.82566
     -1.18829      3.79155      0.70475      3.08680
     -1.17829      4.07564      0.73899      3.33665
     -1.16829      4.25234      0.75730      3.49505
     -1.15829      4.26584      0.75250      3.51334
     -1.14829      4.13571      0.73442      3.40129
     -1.13829      3.94715      0.72655      3.22060
     -1.12829      3.80123      0.75195      3.04929
     -1.11829      3.76351      0.81985      2.94366
     -1.10829      3.84075      0.92240      2.91835
     -1.09829      3.99152      1.04228      2.94924
     -1.08829      4.15377      1.16162      2.99215
     -1.07829      4.26330      1.26206      3.00124
     -1.06829      4.26421      1.32415      2.94006
     -1.05829      4.13345      1.34014      2.79331
     -1.04829      3.90535      1.32879      2.57656
     -1.03829      3.65289      1.32602      2.32687
     -1.02829      3.43292      1.35559      2.07733
     -1.01829      3.25455      1.41227      1.84228
     -1.00829      3.09769      1.47333      1.62436
     -0.99829      2.95398      1.52451      1.42947
     -0.98829      2.85196      1.57684      1.27512
     -0.97829      2.84544      1.65973      1.18571
     -0.96829      2.97269      1.79762      1.17508
     -0.95829      3.22427      1.99384      1.23043
     -0.94829      3.54497      2.23072      1.31425
     -0.93829      3.85660      2.47349      1.38311
     -0.92829      4.08318      2.67484      1.40834
     -0.91829      4.17811      2.79179      1.38632
     -0.90829      4.14627      2.81145      1.33482
     -0.89829      4.04502      2.76396      1.28105
     -0.88829      3.96133      2.71096      1.25038
     -0.87829      3.97504      2.71590      1.25914
     -0.86829      4.11772      2.80900      1.30872
     -0.85829      4.34625      2.96496      1.38129
     -0.84829      4.56052      3.11476      1.44576
     -0.83829      4.66733      3.19089      1.47644
     -0.82829      4.64264      3.17220      1.47043
     -0.81829      4.53713      3.09076      1.44637
     -0.80829      4.42334      2.99743      1.42591
     -0.79829      4.33752      2.92090      1.41662
     -0.78829      4.26810      2.85698      1.41111
     -0.77829      4.19146      2.79179      1.39968
     -0.76829      4.10727      2.72579      1.38148
     -0.75829      4.03128      2.66905      1.36224
     -0.74829      3.96514      2.62080      1.34434
     -0.73829      3.89777      2.57128      1.32649
     -0.72829      3.83490      2.52270      1.31220
     -0.71829      3.79459      2.48728      1.30731
     -0.70829      3.76753      2.46117      1.30635
     -0.69829      3.71487      2.42214      1.29273
     -0.68829      3.61927      2.36097      1.25830
     -0.67829      3.51444      2.29880      1.21564
     -0.66829      3.44999      2.26432      1.18567
     -0.65829      3.44101      2.26359      1.17742
     -0.64829      3.46018      2.27747      1.18272
     -0.63829      3.46721      2.28066      1.18655
     -0.62829      3.43899      2.25940      1.17960
     -0.61829      3.38094      2.21807      1.16288
     -0.60829      3.31659      2.17379      1.14280
     -0.59829      3.26708      2.14343      1.12364
     -0.58829      3.24279      2.13578      1.10701
     -0.57829      3.24810      2.15181      1.09629
     -0.56829      3.27776      2.18312      1.09465
     -0.55829      3.30816      2.21001      1.09815
     -0.54829      3.30783      2.21113      1.09670
     -0.53829      3.26015      2.17757      1.08257
     -0.52829      3.17205      2.11689      1.05515
     -0.51829      3.07116      2.05075      1.02041
     -0.50829      2.99997      2.01043      0.98953
     -0.49829      2.99329      2.01961      0.97368
