Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
      0.28177      0.00000      0.00000      0.00000
      0.29177      0.00000      0.00000      0.00000
      0.30177      0.00000      0.00000      0.00000
      0.31177      0.00000      0.00000      0.00000
      0.32177      0.00000      0.00000      0.00000
      0.33177      0.00000      0.00000      0.00000
      0.34177      0.00000      0.00000      0.00000
      0.35177      0.00000      0.00000      0.00000
      0.36177      0.00000      0.00000      0.00000
      0.37177      0.00000      0.00000      0.00000
      0.38177      0.00000      0.00000      0.00000
      0.39177      0.00000      0.00000      0.00000
      0.40177      0.00000      0.00000      0.00000
      0.41177      0.00000      0.00000      0.00000
      0.42177      0.00000      0.00000      0.00000
      0.43177      0.00000      0.00000      0.00000
      0.44177      0.00000      0.00000      0.00000
      0.45177      0.00000      0.00000      0.00000
      0.46177      0.00000      0.00000      0.00000
      0.47177      0.00000      0.00000      0.00000
      0.48177      0.00000      0.00000      0.00000
      0.49177      0.00000      0.00000      0.00000
      0.50177      0.00000      0.00000      0.00000
      0.51177      0.00000      0.00000      0.00000
      0.52177      0.00000      0.00000      0.00000
      0.53177      0.00000      0.00000      0.00000
      0.54177      0.00000      0.00000      0.00000
      0.55177      0.00000      0.00000      0.00000
      0.56177      0.00000      0.00000      0.00000
      0.57177      0.00000      0.00000      0.00000
      0.58177      0.00000      0.00000      0.00000
      0.59177      0.00000      0.00000      0.00000
      0.60177      0.00000      0.00000      0.00000
      0.61177      0.00000      0.00000      0.00000
      0.62177      0.00000      0.00000      0.00000
      0.63177      0.00000      0.00000      0.00000
      0.64177      0.00000      0.00000      0.00000
      0.65177      0.00000      0.00000      0.00000
      0.66177      0.00000      0.00000      0.00000
      0.67177      0.00000      0.00000      0.00000
      0.68177      0.00000      0.00000      0.00000
      0.69177      0.00000      0.00000      0.00000
      0.70177      0.00000      0.00000      0.00000
      0.71177      0.00000      0.00000      0.00000
      0.72177      0.00000      0.00000      0.00000
      0.73177      0.00000      0.00000      0.00000
      0.74177      0.00000      0.00000      0.00000
      0.75177      0.00000      0.00000      0.00000
      0.76177      0.00000      0.00000      0.00000
      0.77177      0.00000      0.00000      0.00000
      0.78177      0.00000      0.00000      0.00000
      0.79177      0.00000      0.00000      0.00000
      0.80177      0.00000      0.00000      0.00000
      0.81177      0.00000      0.00000      0.00000
      0.82177      0.00000      0.00000      0.00000
      0.83177      0.00000      0.00000      0.00000
      0.84177      0.00000      0.00000      0.00000
      0.85177      0.00000      0.00000      0.00000
      0.86177      0.00000      0.00000      0.00000
      0.87177      0.00000      0.00000      0.00000
      0.88177      0.00000      0.00000      0.00000
      0.89177      0.00000      0.00000      0.00000
      0.90177      0.00000      0.00000      0.00000
      0.91177      0.00000      0.00000      0.00000
      0.92177      0.00000      0.00000      0.00000
      0.93177      0.00000      0.00000      0.00000
      0.94177      0.00000      0.00000      0.00000
      0.95177      0.00000      0.00000      0.00000
      0.96177      0.00000      0.00000      0.00000
      0.97177      0.00000      0.00000      0.00000
      0.98177      0.00000      0.00000      0.00000
      0.99177      0.00000      0.00000      0.00000
      1.00177      0.00000      0.00000      0.00000
      1.01177      0.00000      0.00000      0.00000
      1.02177      0.00000      0.00000      0.00000
      1.03177      0.00000      0.00000      0.00000
      1.04177      0.00000      0.00000      0.00000
      1.05177      0.00000      0.00000      0.00000
      1.06177      0.00000      0.00000      0.00000
      1.07177      0.00000      0.00000      0.00000
      1.08177      0.00000      0.00000      0.00000
      1.09177      0.00000      0.00000      0.00000
      1.10177      0.00000      0.00000      0.00000
      1.11177      0.00000      0.00000      0.00000
      1.12177      0.00000      0.00000      0.00000
      1.13177      0.00000      0.00000      0.00000
      1.14177      0.00000      0.00000      0.00000
      1.15177      0.00000      0.00000      0.00000
      1.16177      0.00000      0.00000      0.00000
      1.17177      0.00000      0.00000      0.00000
      1.18177      0.00000      0.00000      0.00000
      1.19177      0.00000      0.00000      0.00000
      1.20177      0.00000      0.00000      0.00000
      1.21177      0.00000      0.00000      0.00000
      1.22177      0.00000      0.00000      0.00000
      1.23177      0.00000      0.00000      0.00000
      1.24177      0.00000      0.00000      0.00000
      1.25177      0.00000      0.00000      0.00000
      1.26177      0.00000      0.00000      0.00000
      1.27177      0.00000      0.00000      0.00000
      1.28177      0.00000      0.00000      0.00000
      1.29177      0.00000      0.00000      0.00000
      1.30177      0.00000      0.00000      0.00000
      1.31177      0.00000      0.00000      0.00000
      1.32177      0.00000      0.00000      0.00000
      1.33177      0.00000      0.00000      0.00000
      1.34177      0.00000      0.00000      0.00000
      1.35177      0.00000      0.00000      0.00000
      1.36177      0.00000      0.00000      0.00000
      1.37177      0.00000      0.00000      0.00000
      1.38177      0.00000      0.00000      0.00000
      1.39177      0.00000      0.00000      0.00000
      1.40177      0.00000      0.00000      0.00000
      1.41177      0.00000      0.00000      0.00000
      1.42177      0.00000      0.00000      0.00000
      1.43177      0.00000      0.00000      0.00000
      1.44177      0.00000      0.00000      0.00000
      1.45177      0.00000      0.00000      0.00000
      1.46177      0.00000      0.00000      0.00000
      1.47177      0.00000      0.00000      0.00000
      1.48177      0.00000      0.00000      0.00000
      1.49177      0.00000      0.00000      0.00000
      1.50177      0.00000      0.00000      0.00000
      1.51177      0.00000      0.00000      0.00000
      1.52177      0.00000      0.00000      0.00000
      1.53177      0.00000      0.00000      0.00000
      1.54177      0.00000      0.00000      0.00000
      1.55177      0.00000      0.00000      0.00000
      1.56177      0.00000      0.00000      0.00000
      1.57177      0.00000      0.00000      0.00000
      1.58177      0.00000      0.00000      0.00000
      1.59177      0.00000      0.00000      0.00000
      1.60177      0.00000      0.00000      0.00000
      1.61177      0.00000      0.00000      0.00000
      1.62177      0.00000      0.00000      0.00000
      1.63177      0.00000      0.00000      0.00000
      1.64177      0.00000      0.00000      0.00000
      1.65177      0.00000      0.00000      0.00000
      1.66177      0.00000      0.00000      0.00000
      1.67177      0.00000      0.00000      0.00000
      1.68177      0.00000      0.00000      0.00000
      1.69177      0.00000      0.00000      0.00000
      1.70177      0.00000      0.00000      0.00000
      1.71177      0.00000      0.00000      0.00000
      1.72177      0.00000      0.00000      0.00000
      1.73177      0.00000      0.00000      0.00000
      1.74177      0.00000      0.00000      0.00000
      1.75177      0.00000      0.00000      0.00000
      1.76177      0.00000      0.00000      0.00000
      1.77177      0.00000      0.00000      0.00000
      1.78177      0.00000      0.00000      0.00000
      1.79177      0.00000      0.00000      0.00000
      1.80177      0.00000      0.00000      0.00000
      1.81177      0.00000      0.00000      0.00000
      1.82177      0.00000      0.00000      0.00000
      1.83177      0.00000      0.00000      0.00000
      1.84177      0.00000      0.00000      0.00000
      1.85177      0.00000      0.00000      0.00000
      1.86177      0.00000      0.00000      0.00000
      1.87177      0.00000      0.00000      0.00000
      1.88177      0.00000      0.00000      0.00000
      1.89177      0.00000      0.00000      0.00000
      1.90177      0.00000      0.00000      0.00000
      1.91177      0.00000      0.00000      0.00000
      1.92177      0.00000      0.00000      0.00000
      1.93177      0.00000      0.00000      0.00000
      1.94177      0.00000      0.00000      0.00000
      1.95177      0.00000      0.00000      0.00000
      1.96177      0.00000      0.00000      0.00000
      1.97177      0.00000      0.00000      0.00000
      1.98177      0.00000      0.00000      0.00000
      1.99177      0.00000      0.00000      0.00000
      2.00177      0.00000      0.00000      0.00000
      2.01177      0.00000      0.00000      0.00000
      2.02177      0.00000      0.00000      0.00000
      2.03177      0.00000      0.00000      0.00000
      2.04177      0.00000      0.00000      0.00000
      2.05177      0.00000      0.00000      0.00000
      2.06177      0.00000      0.00000      0.00000
      2.07177      0.00000      0.00000      0.00000
      2.08177      0.00000      0.00000      0.00000
      2.09177      0.00000      0.00000      0.00000
      2.10177      0.00000      0.00000      0.00000
      2.11177      0.00000      0.00000      0.00000
      2.12177      0.00000      0.00000      0.00000
      2.13177      0.00000      0.00000      0.00000
      2.14177      0.00000      0.00000      0.00000
      2.15177      0.00000      0.00000      0.00000
      2.16177      0.00000      0.00000      0.00000
      2.17177      0.00000      0.00000      0.00000
      2.18177      0.00000      0.00000      0.00000
      2.19177      0.00000      0.00000      0.00000
      2.20177      0.00000      0.00000      0.00000
      2.21177      0.00000      0.00000      0.00000
      2.22177      0.00000      0.00000      0.00000
      2.23177      0.00001      0.00000      0.00000
      2.24177      0.00009      0.00005      0.00005
      2.25177      0.00082      0.00040      0.00043
      2.26177      0.00581      0.00280      0.00301
      2.27177      0.03325      0.01603      0.01722
      2.28177      0.15491      0.07468      0.08023
      2.29177      0.58921      0.28402      0.30519
      2.30177      1.83827      0.88598      0.95229
      2.31177      4.73402      2.28125      2.45277
      2.32177     10.15044      4.89032      5.26012
      2.33177     18.33749      8.83244      9.50505
      2.34177     28.36909     13.66039     14.70871
      2.35177     38.40205     18.48761     19.91444
      2.36177     46.72996     22.50136     24.22859
      2.37177     52.72144     25.42274     27.29870
      2.38177     56.87634     27.53914     29.33720
      2.39177     60.17792     29.38147     30.79645
      2.40177     63.41694     31.36307     32.05387
      2.41177     66.89450     33.59630     33.29820
      2.42177     70.49960     35.92831     34.57129
      2.43177     73.97023     38.12006     35.85017
      2.44177     77.13180     40.02561     37.10620
      2.45177     79.99234     41.65594     38.33640
      2.46177     82.70244     43.12791     39.57453
      2.47177     85.45847     44.58091     40.87756
      2.48177     88.41441     46.12009     42.29432
      2.49177     91.65185     47.79758     43.85427
      2.50177     95.24854     49.64463     45.60391
      2.51177     99.39690     51.74216     47.65473
      2.52177    104.39987     54.23546     50.16440
      2.53177    110.41354     57.20781     53.20573
      2.54177    117.06407     60.49039     56.57368
      2.55177    123.27450     63.59515     59.67935
      2.56177    127.54520     65.86128     61.68392
      2.57177    128.63943     66.75248     61.88695
      2.58177    126.33506     66.16794     60.16712
      2.59177    121.71106     64.57363     57.13744
      2.60177    116.58961     62.77834     53.81128
      2.61177    112.44107     61.44995     50.99112
      2.62177    109.69848     60.79160     48.90688
      2.63177    108.07391     60.67805     47.39586
      2.64177    107.33369     61.01701     46.31669
      2.65177    107.55740     61.86829     45.68911
      2.66177    108.80089     63.28074     45.52015
      2.67177    110.94111     65.22828     45.71283
      2.68177    114.02803     67.79481     46.23322
      2.69177    118.52080     71.27794     47.24285
      2.70177    124.81465     75.90288     48.91177
      2.71177    132.37536     81.31904     51.05632
      2.72177    139.38760     86.38866     52.99894
      2.73177    143.46447     89.60575     53.85872
      2.74177    143.00492     89.92747     53.07745
      2.75177    138.12063     87.37242     50.74821
      2.76177    130.44084     82.94552     47.49532
      2.77177    122.15862     78.06978     44.08885
      2.78177    115.17656     74.01254     41.16401
      2.79177    110.77915     71.59698     39.18216
      2.80177    109.65134     71.18252     38.46882
      2.81177    111.87261     72.72762     39.14499
      2.82177    116.78957     75.79686     40.99271
      2.83177    123.08517     79.61347     43.47171
      2.84177    129.31789     83.32829     45.98960
      2.85177    134.65025     86.41621     48.23404
      2.86177    139.18914     88.90641     50.28273
      2.87177    143.67755     91.24755     52.43000
      2.88177    148.84900     93.91296     54.93605
      2.89177    155.14458     97.17334     57.97124
      2.90177    163.07097    101.28658     61.78439
      2.91177    173.37919    106.64489     66.73429
      2.92177    186.17930    113.32384     72.85547
      2.93177    199.66648    120.40843     79.25805
      2.94177    210.17097    126.03941     84.13156
      2.95177    214.14292    128.44373     85.69919
      2.96177    210.59894    127.15211     83.44683
      2.97177    201.77570    123.30694     78.46876
      2.98177    191.35884    118.76959     72.58925
      2.99177    182.07455    114.90282     67.17173
      3.00177    174.74866    112.08836     62.66030
      3.01177    169.00596    110.08169     58.92427
      3.02177    164.26311    108.50635     55.75676
      3.03177    159.94275    106.89895     53.04380
      3.04177    154.98924    104.34533     50.64391
      3.05177    147.70257     99.39973     48.30284
      3.06177    136.77982     90.97304     45.80678
      3.07177    122.88760     79.66542     43.22218
      3.08177    108.86346     67.94956     40.91390
      3.09177     98.03508     58.70664     39.32843
      3.10177     92.53743     53.67927     38.85816
      3.11177     93.22835     53.30189     39.92646
      3.12177    100.38318     57.37526     43.00793
      3.13177    113.61042     65.29355     48.31687
      3.14177    131.14941     75.74702     55.40238
      3.15177    149.91222     86.77223     63.13999
      3.16177    166.56995     96.40344     70.16651
      3.17177    178.57726    103.26154     75.31572
      3.18177    184.47464    106.65397     77.82067
      3.19177    184.00014    106.52884     77.47130
      3.20177    178.33529    103.56780     74.76750
      3.21177    169.88522     99.10296     70.78226
      3.22177    161.26618     94.59263     66.67355
      3.23177    154.19068     90.98773     63.20296
      3.24177    149.04946     88.47820     60.57126
      3.25177    145.29263     86.72572     58.56691
      3.26177    142.19985     85.33498     56.86488
      3.27177    139.40521     84.16508     55.24013
      3.28177    136.70671     83.20565     53.50107
      3.29177    133.54012     82.24547     51.29465
      3.30177    129.09868     80.89370     48.20498
      3.31177    123.22658     79.02541     44.20117
      3.32177    116.92578     77.02963     39.89615
      3.33177    111.67993     75.48052     36.19941
      3.34177    108.35728     74.66836     33.68892
      3.35177    106.83313     74.50242     32.33070
      3.36177    106.42669     74.71434     31.71236
      3.37177    106.56777     75.10804     31.45973
      3.38177    107.22798     75.76034     31.46764
      3.39177    108.81343     76.99390     31.81953
      3.40177    111.53129     78.99516     32.53613
      3.41177    114.85057     81.43002     33.42055
      3.42177    117.68917     83.54252     34.14664
      3.43177    119.11206     84.63494     34.47712
      3.44177    118.81685     84.42372     34.39314
      3.45177    117.10137     83.05424     34.04712
      3.46177    114.51695     80.90980     33.60715
      3.47177    111.51703     78.38613     33.13090
      3.48177    108.34531     75.76025     32.58505
      3.49177    105.17001     73.19864     31.97137
      3.50177    102.20940     70.82119     31.38821
      3.51177     99.72337     68.75148     30.97189
      3.52177     97.95870     67.13513     30.82357
      3.53177     96.99359     66.03893     30.95466
      3.54177     96.48261     65.25843     31.22418
      3.55177     95.72835     64.34862     31.37974
      3.56177     94.29623     63.01807     31.27816
      3.57177     92.56770     61.48137     31.08633
      3.58177     91.57950     60.34006     31.23944
      3.59177     92.33109     60.11333     32.21776
      3.60177     95.22483     60.87682     34.34800
      3.61177    100.04043     62.30994     37.73048
      3.62177    106.30318     64.06454     42.23864
      3.63177    113.54004     66.04169     47.49835
      3.64177    121.19897     68.29070     52.90826
      3.65177    128.60720     70.75449     57.85272
      3.66177    135.20539     73.20670     61.99870
      3.67177    140.73812     75.36715     65.37096
      3.68177    145.22547     77.05134     68.17413
      3.69177    148.83885     78.26673     70.57212
      3.70177    151.57906     79.08891     72.49015
      3.71177    152.85363     79.36043     73.49321
      3.72177    151.60436     78.63700     72.96736
      3.73177    147.12427     76.53920     70.58507
      3.74177    139.76561     73.12442     66.64119
      3.75177    130.94155     68.96012     61.98143
      3.76177    122.50214     64.89218     57.60996
      3.77177    115.82937     61.61415     54.21522
      3.78177    111.24167     59.32715     51.91452
      3.79177    108.15866     57.78110     50.37755
      3.80177    105.67805     56.54937     49.12868
      3.81177    103.02978     55.24184     47.78794
      3.82177     99.94447     53.68229     46.26218
      3.83177     96.88218     52.05744     44.82474
      3.84177     94.65027     50.78242     43.86785
      3.85177     93.55273     50.08332     43.46941
      3.86177     92.99681     49.73415     43.26266
      3.87177     92.00795     49.24360     42.76435
      3.88177     90.11431     48.30444     41.80987
      3.89177     87.79149     47.08661     40.70488
      3.90177     86.05869     46.08749     39.97120
