Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -0.56000     63.45666     43.24737     20.20929
     -0.55000     64.74707     44.27190     20.47517
     -0.54000     67.22231     46.15913     21.06317
     -0.53000     69.59121     47.98215     21.60907
     -0.52000     69.80253     48.23234     21.57019
     -0.51000     67.02703     46.27685     20.75018
     -0.50000     62.79277     43.21429     19.57848
     -0.49000     59.58614     40.87210     18.71405
     -0.48000     58.54541     40.11082     18.43459
     -0.47000     58.93213     40.40731     18.52482
     -0.46000     59.60637     40.91992     18.68646
     -0.45000     60.38130     41.50128     18.88001
     -0.44000     61.72647     42.50573     19.22075
     -0.43000     63.56530     43.88924     19.67607
     -0.42000     64.90991     44.89573     20.01418
     -0.41000     64.85550     44.78555     20.06996
     -0.40000     63.72990     43.74266     19.98724
     -0.39000     62.98121     42.84453     20.13668
     -0.38000     63.79764     43.03352     20.76412
     -0.37000     65.79874     44.12294     21.67580
     -0.36000     67.04011     44.81180     22.22831
     -0.35000     65.35953     43.68616     21.67336
     -0.34000     59.96567     40.31089     19.65478
     -0.33000     51.99702     35.49933     16.49769
     -0.32000     43.64671     30.61616     13.03055
     -0.31000     36.64547     26.59035     10.05513
     -0.30000     31.38826     23.47738      7.91088
     -0.29000     27.29864     20.82638      6.47227
     -0.28000     23.81919     18.35366      5.46553
     -0.27000     20.96786     16.23373      4.73413
     -0.26000     19.08546     14.82776      4.25771
     -0.25000     18.29232     14.26176      4.03056
     -0.24000     18.32457     14.33207      3.99250
     -0.23000     18.81643     14.75270      4.06373
     -0.22000     19.51758     15.33348      4.18410
     -0.21000     20.16071     15.87140      4.28931
     -0.20000     20.34233     16.05020      4.29213
     -0.19000     19.74067     15.61012      4.13055
     -0.18000     18.39977     14.57747      3.82230
     -0.17000     16.73129     13.27471      3.45657
     -0.16000     15.29951     12.15336      3.14615
     -0.15000     14.55410     11.57656      2.97754
     -0.14000     14.55578     11.59489      2.96089
     -0.13000     14.90507     11.88952      3.01555
     -0.12000     15.09197     12.05411      3.03786
     -0.11000     14.94333     11.95193      2.99140
     -0.10000     14.62092     11.71198      2.90894
     -0.09000     14.25888     11.43890      2.81997
     -0.08000     13.81068     11.09314      2.71754
     -0.07000     13.23687     10.64317      2.59371
     -0.06000     12.63730     10.17074      2.46656
     -0.05000     12.14817      9.78671      2.36146
     -0.04000     11.82431      9.53574      2.28857
     -0.03000     11.62127      9.38189      2.23938
     -0.02000     11.38098      9.19694      2.18404
     -0.01000     10.83791      8.76548      2.07243
