Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -2.07000      3.06623      1.33074      1.73549
     -2.06000      2.31012      0.74859      1.56153
     -2.05000      2.94468      0.75678      2.18790
     -2.04000      2.55727      0.66498      1.89229
     -2.03000      2.59882      0.95574      1.64308
     -2.02000      3.75760      1.61134      2.14627
     -2.01000      1.35628      0.53949      0.81679
     -2.00000      1.86279      0.55821      1.30458
     -1.99000      1.85576      0.69717      1.15859
     -1.98000      1.25910      0.40317      0.85593
     -1.97000      2.84795      0.73233      2.11562
     -1.96000      3.99557      1.08625      2.90933
     -1.95000      6.29460      1.69371      4.60089
     -1.94000      4.06673      1.20742      2.85931
     -1.93000      3.77516      1.02282      2.75234
     -1.92000      4.59913      1.19544      3.40369
     -1.91000      2.49755      0.60650      1.89105
     -1.90000      1.04354      0.31433      0.72922
     -1.89000      3.05228      1.29410      1.75818
     -1.88000      4.54992      1.63540      2.91452
     -1.87000      3.03311      0.85521      2.17790
     -1.86000      2.45312      0.78700      1.66612
     -1.85000      2.36508      0.83352      1.53156
     -1.84000      2.69944      0.77296      1.92648
     -1.83000      4.00275      1.27713      2.72562
     -1.82000      4.03528      1.48251      2.55277
     -1.81000      4.29586      1.19343      3.10242
     -1.80000      5.00349      1.42528      3.57821
     -1.79000      5.00659      2.03616      2.97042
     -1.78000      1.76056      0.82195      0.93861
     -1.77000      0.11260      0.05533      0.05726
     -1.76000      0.03458      0.01315      0.02143
     -1.75000      0.88455      0.29978      0.58477
     -1.74000      3.88968      1.11683      2.77286
     -1.73000      3.61966      0.89175      2.72791
     -1.72000      1.62440      0.57486      1.04954
     -1.71000      1.21761      0.34069      0.87691
     -1.70000      1.36438      0.25061      1.11377
     -1.69000      0.77334      0.22862      0.54472
     -1.68000      1.05884      0.46530      0.59354
     -1.67000      1.31122      0.47669      0.83453
     -1.66000      2.85592      1.09285      1.76307
     -1.65000      2.33335      1.02072      1.31263
     -1.64000      2.19649      0.70944      1.48705
     -1.63000      1.59786      0.42644      1.17142
     -1.62000      2.11035      0.34441      1.76594
     -1.61000      3.54344      0.83313      2.71031
     -1.60000      4.96137      1.65441      3.30696
     -1.59000      3.34667      0.93334      2.41333
     -1.58000      1.59027      0.31776      1.27251
     -1.57000      1.13897      0.35832      0.78065
     -1.56000      0.63584      0.28600      0.34984
     -1.55000      1.20463      0.48092      0.72372
     -1.54000      1.92177      0.77517      1.14661
     -1.53000      1.57646      0.44580      1.13066
     -1.52000      0.35125      0.06488      0.28637
     -1.51000      0.31423      0.09848      0.21576
     -1.50000      0.99060      0.31546      0.67514
     -1.49000      0.86955      0.21207      0.65748
     -1.48000      2.88073      0.62218      2.25855
     -1.47000      4.75153      1.40933      3.34220
     -1.46000      2.69542      0.98590      1.70952
     -1.45000      1.22955      0.44245      0.78710
     -1.44000      0.93546      0.26253      0.67293
     -1.43000      0.36139      0.08660      0.27478
     -1.42000      1.21576      0.29529      0.92046
     -1.41000      1.19163      0.31507      0.87656
     -1.40000      1.31663      0.18979      1.12685
     -1.39000      2.23899      0.28733      1.95167
     -1.38000      0.84168      0.12377      0.71792
     -1.37000      0.79742      0.31321      0.48421
     -1.36000      2.34546      0.80035      1.54511
     -1.35000      4.32923      1.10467      3.22456
     -1.34000      3.32200      0.74151      2.58049
     -1.33000      1.21474      0.19455      1.02019
     -1.32000      0.22489      0.03003      0.19487
     -1.31000      0.44444      0.04289      0.40155
     -1.30000      0.97589      0.09394      0.88195
     -1.29000      0.36298      0.05744      0.30555
     -1.28000      0.85198      0.35468      0.49730
     -1.27000      1.38565      0.58473      0.80092
     -1.26000      0.31513      0.13270      0.18244
     -1.25000      0.12134      0.02064      0.10070
     -1.24000      1.12917      0.19769      0.93147
     -1.23000      2.56688      0.49501      2.07188
     -1.22000      1.77547      0.29491      1.48057
     -1.21000      0.68164      0.09710      0.58454
     -1.20000      1.50557      0.32529      1.18029
     -1.19000      2.67620      0.68769      1.98851
     -1.18000      2.15996      0.56682      1.59314
     -1.17000      1.26098      0.23920      1.02178
     -1.16000      2.18959      0.31939      1.87020
     -1.15000      1.26790      0.19550      1.07240
     -1.14000      0.16112      0.02420      0.13692
     -1.13000      0.69926      0.11977      0.57949
     -1.12000      3.15038      0.62957      2.52081
     -1.11000      4.08429      0.79187      3.29243
     -1.10000      2.66174      0.43984      2.22190
     -1.09000      1.01120      0.14282      0.86838
     -1.08000      0.70880      0.10168      0.60712
     -1.07000      1.56576      0.23167      1.33409
     -1.06000      1.72133      0.29585      1.42548
     -1.05000      1.39334      0.36812      1.02522
     -1.04000      2.31088      0.46041      1.85047
     -1.03000      2.76151      0.41054      2.35097
     -1.02000      2.75456      0.75743      1.99713
     -1.01000      1.53757      0.76344      0.77413
     -1.00000      1.79762      0.82657      0.97105
     -0.99000      2.05359      0.85540      1.19820
     -0.98000      2.62051      0.53987      2.08064
     -0.97000      3.55768      1.07043      2.48725
     -0.96000      4.23761      1.61878      2.61883
     -0.95000      1.80780      0.55846      1.24934
     -0.94000      0.29624      0.06894      0.22730
     -0.93000      0.01497      0.00343      0.01153
     -0.92000      0.03416      0.02241      0.01175
     -0.91000      0.57974      0.38507      0.19466
     -0.90000      2.00184      1.34424      0.65760
     -0.89000      2.19144      1.44030      0.75114
     -0.88000      1.68605      1.12512      0.56094
     -0.87000      2.39689      1.49267      0.90422
     -0.86000      2.04156      1.23569      0.80587
     -0.85000      1.32050      0.88935      0.43115
     -0.84000      1.51237      1.08618      0.42618
     -0.83000      1.70509      1.21597      0.48912
     -0.82000      2.18190      1.56658      0.61532
     -0.81000      4.15580      2.88701      1.26879
     -0.80000      4.14496      2.77610      1.36886
     -0.79000      1.56104      1.07447      0.48658
     -0.78000      2.26571      1.62438      0.64133
     -0.77000      1.52741      1.08837      0.43903
     -0.76000      0.85657      0.56379      0.29277
     -0.75000      2.28739      1.51254      0.77485
     -0.74000      2.08874      1.44117      0.64756
     -0.73000      3.13563      2.12004      1.01560
     -0.72000      4.91479      3.18742      1.72737
     -0.71000      2.78505      1.78286      1.00219
     -0.70000      1.12880      0.75469      0.37411
     -0.69000      0.55067      0.37138      0.17929
     -0.68000      0.99479      0.70585      0.28894
