Energy (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -1.11617      0.62379      1.49267      0.90422
     -1.10617      0.26003      1.23569      0.80587
     -1.09617      1.09404      0.88935      0.43115
     -1.08617      1.98390      1.08618      0.42618
     -1.07617      1.69986      1.21597      0.48912
     -1.06617      1.05971      1.56658      0.61532
     -1.05617      0.15849      2.88701      1.26879
     -1.04617      0.00429      2.77610      1.36886
     -1.03617      0.03167      1.07447      0.48658
     -1.02617      0.76171      1.62438      0.64133
     -1.01617      3.00885      1.08837      0.43903
     -1.00617      3.03409      0.56379      0.29277
     -0.99617      2.46164      1.51254      0.77485
     -0.98617      1.80272      1.44117      0.64756
     -0.97617      1.22037      2.12004      1.01560
     -0.96617      1.37960      3.18742      1.72737
     -0.95617      2.17639      1.78286      1.00219
     -0.94617      1.69857      0.75469      0.37411
     -0.93617      2.52766      0.37138      0.17929
     -0.92617      2.96125      0.70585      0.28894
     -0.91617      3.55113      0.88428      0.35551
     -0.90617      2.85005      0.75067      0.32926
     -0.89617      2.15560      0.95679      0.62022
     -0.88617      2.62284      1.93119      1.14164
     -0.87617      3.29108      1.33285      0.68419
     -0.86617      3.72268      0.47433      0.23760
     -0.85617      3.09499      1.31978      0.73518
     -0.84617      1.90558      1.72517      0.87904
     -0.83617      1.19741      1.85944      0.88258
     -0.82617      0.61086      1.60356      0.81230
     -0.81617      0.91343      0.97290      0.44277
     -0.80617      2.40728      1.12256      0.58547
     -0.79617      2.62591      1.67658      0.97702
     -0.78617      0.93912      0.87159      0.50713
     -0.77617      0.52602      0.38444      0.19147
     -0.76617      1.18971      0.64697      0.32399
     -0.75617      1.48090      1.07497      0.57122
     -0.74617      2.23850      0.79493      0.35837
     -0.73617      2.04922      1.08725      0.50557
     -0.72617      2.11561      1.25585      0.65912
     -0.71617      1.68019      1.17854      0.59201
     -0.70617      2.08810      1.08682      0.54105
     -0.69617      2.29799      0.54524      0.35010
     -0.68617      1.82549      0.60940      0.41267
     -0.67617      1.41391      0.66068      0.34751
     -0.66617      0.76305      0.62783      0.32007
     -0.65617      0.52199      1.16660      0.62428
